project_split,true_angle,dataset,document_type,sample_count,accuracy,mean_confidence,mean_nearest_distance,neighboring_zone_errors
validation,0,coru,receipt,15,0.4,0.013807166480637973,64.82618764241536,9
validation,0,fatura,invoice,16,0.0,0.019909039534907722,42.62690234184265,3
validation,0,funsd,form,15,0.06666666666666667,0.012957570117844128,50.2165522257487,4
validation,0,sroie,receipt,15,0.2,0.014490847739952437,48.61470387776693,12
validation,1,coru,receipt,15,0.6,0.015438581171923831,61.695430501302084,5
validation,1,fatura,invoice,16,0.0,0.03265544789293107,41.5368435382843,2
validation,1,funsd,form,15,0.06666666666666667,0.0295387928839228,48.71212310791016,0
validation,1,sroie,receipt,15,0.3333333333333333,0.016957354798632855,48.28306884765625,7
validation,45,coru,receipt,15,0.9333333333333333,0.3013165244022955,31.87663548787435,0
validation,45,fatura,invoice,16,0.0,0.29175521608157573,31.58627223968506,0
validation,45,funsd,form,15,0.0,0.2999798738790088,31.171167119344076,0
validation,45,sroie,receipt,15,0.6666666666666666,0.23802073339283963,33.71201019287109,0
validation,89,coru,receipt,15,0.6666666666666666,0.024020931169370558,58.32290802001953,4
validation,89,fatura,invoice,16,0.0,0.015671666407237692,44.086238861083984,8
validation,89,funsd,form,15,0.0,0.013335564629150613,50.513163248697914,4
validation,89,sroie,receipt,15,0.3333333333333333,0.01959084408772215,48.088488006591795,1
validation,90,coru,receipt,15,0.4,0.019231309611035637,61.623986053466794,9
validation,90,fatura,invoice,16,0.0,0.019257371302585875,44.88972187042236,4
validation,90,funsd,form,15,0.06666666666666667,0.010859492089992578,51.65464375813802,6
validation,90,sroie,receipt,15,0.2,0.014369345944240906,47.825446065266924,12
validation,91,coru,receipt,15,0.6666666666666666,0.02123035557294577,59.154700724283856,4
validation,91,fatura,invoice,16,0.0,0.028105171244300065,44.36186647415161,3
validation,91,funsd,form,15,0.06666666666666667,0.01933648796490382,49.76589711507162,0
validation,91,sroie,receipt,15,0.4,0.016704086688514096,47.75713195800781,7
validation,135,coru,receipt,15,0.9333333333333333,0.29961601024101786,32.12155723571777,0
validation,135,fatura,invoice,16,0.0,0.29039586774543513,31.643154501914978,0
validation,135,funsd,form,15,0.0,0.30107851272333996,31.06849021911621,0
validation,135,sroie,receipt,15,0.6666666666666666,0.23734835842485755,33.656009674072266,0
validation,179,coru,receipt,15,0.6666666666666666,0.01814952263835638,61.131446075439456,4
validation,179,fatura,invoice,16,0.0,0.014884616118418542,41.80010676383972,7
validation,179,funsd,form,15,0.06666666666666667,0.01519586431218747,49.638196563720705,4
validation,179,sroie,receipt,15,0.4,0.02157244286386281,48.62282079060872,0
validation,180,coru,receipt,15,0.0,0.014159744768861757,64.83481623331706,9
validation,180,fatura,invoice,16,0.8125,0.019709707150628614,42.62713932991028,3
validation,180,funsd,form,15,0.7333333333333333,0.012377712280772623,50.54369303385417,3
validation,180,sroie,receipt,15,0.0,0.014799531773276992,48.61354497273763,11
validation,181,coru,receipt,15,0.06666666666666667,0.015909051562537815,61.811903381347655,5
validation,181,fatura,invoice,16,0.875,0.032168754238020916,41.90593504905701,2
validation,181,funsd,form,15,0.9333333333333333,0.028790667451824355,49.02396977742513,0
validation,181,sroie,receipt,15,0.2,0.017296338358755558,48.39726231892904,7
validation,225,coru,receipt,15,0.06666666666666667,0.3012822229808429,31.880643717447917,0
validation,225,fatura,invoice,16,1.0,0.29379664353751045,31.407139778137207,0
validation,225,funsd,form,15,1.0,0.2995498703703302,31.150613657633464,0
validation,225,sroie,receipt,15,0.3333333333333333,0.23769627725164394,33.70909792582194,0
validation,269,coru,receipt,15,0.06666666666666667,0.023705134764346786,58.28248062133789,4
validation,269,fatura,invoice,16,0.4375,0.015071254263238795,44.21232628822327,9
validation,269,funsd,form,15,0.7333333333333333,0.014082405832561628,50.28811798095703,4
validation,269,sroie,receipt,15,0.6,0.018469130644829086,48.274800364176436,1
validation,270,coru,receipt,15,0.0,0.018708056260225515,61.795676676432294,9
validation,270,fatura,invoice,16,0.75,0.018283546228884513,45.56930351257324,4
validation,270,funsd,form,15,0.5333333333333333,0.010663541811612337,51.30656382242839,6
validation,270,sroie,receipt,15,0.0,0.014694689238454973,47.76471455891927,11
validation,271,coru,receipt,15,0.06666666666666667,0.02182757168955983,58.95204416910807,4
validation,271,fatura,invoice,16,0.8125,0.028092007811114712,44.52245020866394,3
validation,271,funsd,form,15,0.9333333333333333,0.01931738043605905,49.68424987792969,0
validation,271,sroie,receipt,15,0.13333333333333333,0.016622976069636752,47.88167241414388,7
validation,315,coru,receipt,15,0.06666666666666667,0.2991924129687801,32.137508392333984,0
validation,315,fatura,invoice,16,1.0,0.2935890309681565,31.518216729164124,0
validation,315,funsd,form,15,1.0,0.3016590507541243,31.06619784037272,0
validation,315,sroie,receipt,15,0.3333333333333333,0.23715237279109344,33.63798243204753,0
validation,359,coru,receipt,15,0.06666666666666667,0.01789809965239203,61.021636962890625,4
validation,359,fatura,invoice,16,0.5625,0.014836418794317196,41.54442048072815,7
validation,359,funsd,form,15,0.6666666666666666,0.01499020729991967,49.32701009114583,5
validation,359,sroie,receipt,15,0.6,0.021004583879724956,48.52743326822917,0
