dataset,file_path,file_type,expected_match,match_status,reason,recommended_action
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/000aed0d-6af8-49c5-b9a4-b4df292f8b1d.txt,annotation,image(.jpg) with same stem '000aed0d-6af8-49c5-b9a4-b4df292f8b1d',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/0193aef4-273e-4ddc-842a-81d89be9f270.txt,annotation,image(.jpg) with same stem '0193aef4-273e-4ddc-842a-81d89be9f270',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/01aa8c69-4f5d-406d-88ae-c2dc7faf2ec1.txt,annotation,image(.jpg) with same stem '01aa8c69-4f5d-406d-88ae-c2dc7faf2ec1',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/01b4ede9-df19-4178-823a-520d00e19320.txt,annotation,image(.jpg) with same stem '01b4ede9-df19-4178-823a-520d00e19320',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/01b5e05d-0d7d-44c5-84ec-689b861671c4.txt,annotation,image(.jpg) with same stem '01b5e05d-0d7d-44c5-84ec-689b861671c4',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/01c53e71-8a1f-4c3c-8115-8fde09bbd23c.txt,annotation,image(.jpg) with same stem '01c53e71-8a1f-4c3c-8115-8fde09bbd23c',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/02200796-18e6-4a47-8e19-cef64a890676.txt,annotation,image(.jpg) with same stem '02200796-18e6-4a47-8e19-cef64a890676',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/022374ce-f966-4fd7-a16a-84f8be745964.txt,annotation,image(.jpg) with same stem '022374ce-f966-4fd7-a16a-84f8be745964',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/0228898d-d339-4934-ab76-e7dc446e4ef8.txt,annotation,image(.jpg) with same stem '0228898d-d339-4934-ab76-e7dc446e4ef8',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/0253aed8-643c-451c-81cd-3ee84247c0f0.txt,annotation,image(.jpg) with same stem '0253aed8-643c-451c-81cd-3ee84247c0f0',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/02679106-a845-458b-9d55-e0d404b2059f.txt,annotation,image(.jpg) with same stem '02679106-a845-458b-9d55-e0d404b2059f',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/027c42f7-7b0e-4ffe-bafc-435725368931.txt,annotation,image(.jpg) with same stem '027c42f7-7b0e-4ffe-bafc-435725368931',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/02878d3a-90e4-4299-bf81-23ab2a4d2c03.txt,annotation,image(.jpg) with same stem '02878d3a-90e4-4299-bf81-23ab2a4d2c03',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/02ad6a10-ab23-4e16-8639-bc4779a846a5.txt,annotation,image(.jpg) with same stem '02ad6a10-ab23-4e16-8639-bc4779a846a5',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/02b3414a-df44-48fe-b327-cceb8bbfe919.txt,annotation,image(.jpg) with same stem '02b3414a-df44-48fe-b327-cceb8bbfe919',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/02e10b64-9cf8-4281-b655-3db555e32959.txt,annotation,image(.jpg) with same stem '02e10b64-9cf8-4281-b655-3db555e32959',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/03189185-4ec2-42f0-b89b-3a59c34c726e.txt,annotation,image(.jpg) with same stem '03189185-4ec2-42f0-b89b-3a59c34c726e',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/031c85f4-131c-48e7-8db5-74c9d4d58369.txt,annotation,image(.jpg) with same stem '031c85f4-131c-48e7-8db5-74c9d4d58369',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/031d3755-ae51-4c6f-9edb-85bb2523e4ab.txt,annotation,image(.jpg) with same stem '031d3755-ae51-4c6f-9edb-85bb2523e4ab',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/031f80e5-06b6-4cf9-8341-feba4e74645d.txt,annotation,image(.jpg) with same stem '031f80e5-06b6-4cf9-8341-feba4e74645d',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/032bb727-592e-4e50-bc07-f8976d01bdd8.txt,annotation,image(.jpg) with same stem '032bb727-592e-4e50-bc07-f8976d01bdd8',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/03308d9f-ea79-482b-ae06-868486d68653.txt,annotation,image(.jpg) with same stem '03308d9f-ea79-482b-ae06-868486d68653',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/03373283-3aee-4189-8015-18a76c6b09bb.txt,annotation,image(.jpg) with same stem '03373283-3aee-4189-8015-18a76c6b09bb',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/03401e49-b40e-4c88-b91d-d782ea98e6e9.txt,annotation,image(.jpg) with same stem '03401e49-b40e-4c88-b91d-d782ea98e6e9',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/034ca998-0946-4549-97fe-c7ca748a2cb1.txt,annotation,image(.jpg) with same stem '034ca998-0946-4549-97fe-c7ca748a2cb1',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/034dd8ad-cc74-41f8-8d5b-c594cf6eb507.txt,annotation,image(.jpg) with same stem '034dd8ad-cc74-41f8-8d5b-c594cf6eb507',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/034f6317-4a46-4e41-b8a9-bbf6446d449e.txt,annotation,image(.jpg) with same stem '034f6317-4a46-4e41-b8a9-bbf6446d449e',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/03592c72-24c7-4f08-bd31-46355a8b8c94.txt,annotation,image(.jpg) with same stem '03592c72-24c7-4f08-bd31-46355a8b8c94',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/036898af-7f52-44c6-8966-50ebc0c491f4.txt,annotation,image(.jpg) with same stem '036898af-7f52-44c6-8966-50ebc0c491f4',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/036fd07f-611d-4bfe-b0d1-c9b80203fbbd.txt,annotation,image(.jpg) with same stem '036fd07f-611d-4bfe-b0d1-c9b80203fbbd',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/037268c4-be46-4cf6-921e-b34bc631fc19.txt,annotation,image(.jpg) with same stem '037268c4-be46-4cf6-921e-b34bc631fc19',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/03742c0a-4352-408a-9c15-d2d425b0d8de.txt,annotation,image(.jpg) with same stem '03742c0a-4352-408a-9c15-d2d425b0d8de',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/03799881-ff11-4933-8a0a-3cd36c42f89f.txt,annotation,image(.jpg) with same stem '03799881-ff11-4933-8a0a-3cd36c42f89f',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/038bd941-633d-4c33-bd2f-cd9a14919c45.txt,annotation,image(.jpg) with same stem '038bd941-633d-4c33-bd2f-cd9a14919c45',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/038d1516-2f36-4857-b72c-7e348fbac0ff.txt,annotation,image(.jpg) with same stem '038d1516-2f36-4857-b72c-7e348fbac0ff',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/0392db70-6033-461d-bdd9-b1b31814d7cf.txt,annotation,image(.jpg) with same stem '0392db70-6033-461d-bdd9-b1b31814d7cf',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/03b88274-08e8-412f-abe2-8821756886b0.txt,annotation,image(.jpg) with same stem '03b88274-08e8-412f-abe2-8821756886b0',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/03b8e0f4-7ffb-4d05-8312-11ecc4e57ab5.txt,annotation,image(.jpg) with same stem '03b8e0f4-7ffb-4d05-8312-11ecc4e57ab5',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/03c36d9b-34d6-45d9-be2b-fd7dc1523c6d.txt,annotation,image(.jpg) with same stem '03c36d9b-34d6-45d9-be2b-fd7dc1523c6d',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/03c5c948-7fab-4afb-9687-3c244ec7b87c.txt,annotation,image(.jpg) with same stem '03c5c948-7fab-4afb-9687-3c244ec7b87c',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/03cbb386-db50-41b8-af29-ad9c6418dcee.txt,annotation,image(.jpg) with same stem '03cbb386-db50-41b8-af29-ad9c6418dcee',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/03d10ac6-d60d-4b40-85d4-a34e787c38f6.txt,annotation,image(.jpg) with same stem '03d10ac6-d60d-4b40-85d4-a34e787c38f6',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/03d56275-9d8c-4420-8a3b-3ca94b7cfdcf.txt,annotation,image(.jpg) with same stem '03d56275-9d8c-4420-8a3b-3ca94b7cfdcf',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/03f6edf7-56d7-48da-b954-e35c30070ae2.txt,annotation,image(.jpg) with same stem '03f6edf7-56d7-48da-b954-e35c30070ae2',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/04112e44-1512-497b-8585-2da93a67b564.txt,annotation,image(.jpg) with same stem '04112e44-1512-497b-8585-2da93a67b564',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/041493aa-95d5-410e-8d26-5d43de8765cf.txt,annotation,image(.jpg) with same stem '041493aa-95d5-410e-8d26-5d43de8765cf',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/04318009-5116-479a-aa20-6d69a57e9b2f.txt,annotation,image(.jpg) with same stem '04318009-5116-479a-aa20-6d69a57e9b2f',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/0433c5fe-b5d6-4a37-b397-ca8259b41bdf.txt,annotation,image(.jpg) with same stem '0433c5fe-b5d6-4a37-b397-ca8259b41bdf',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/044f816c-9233-425b-a23d-899317fcb9f2.txt,annotation,image(.jpg) with same stem '044f816c-9233-425b-a23d-899317fcb9f2',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/045221ce-9165-4bf7-a7c0-1f29c1563799.txt,annotation,image(.jpg) with same stem '045221ce-9165-4bf7-a7c0-1f29c1563799',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/0456f2d3-cb56-4010-9168-ec64bc1ad9fc.txt,annotation,image(.jpg) with same stem '0456f2d3-cb56-4010-9168-ec64bc1ad9fc',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/045942aa-a721-4371-88ad-a60495d077c1.txt,annotation,image(.jpg) with same stem '045942aa-a721-4371-88ad-a60495d077c1',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/04616cd1-95f3-47ad-8e98-1246e256eaa1.txt,annotation,image(.jpg) with same stem '04616cd1-95f3-47ad-8e98-1246e256eaa1',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/046bc09e-324a-4666-a5df-0a25bc01040e.txt,annotation,image(.jpg) with same stem '046bc09e-324a-4666-a5df-0a25bc01040e',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/046dfe9b-8760-4e09-96d8-c1db6775626e.txt,annotation,image(.jpg) with same stem '046dfe9b-8760-4e09-96d8-c1db6775626e',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/0481b01f-e357-4276-8be4-f1d095b9d6d2.txt,annotation,image(.jpg) with same stem '0481b01f-e357-4276-8be4-f1d095b9d6d2',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/048c98f0-1968-4f15-887f-63a3e13b8c3a.txt,annotation,image(.jpg) with same stem '048c98f0-1968-4f15-887f-63a3e13b8c3a',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/04905b48-e19a-4951-813c-62ed44ee60c0.txt,annotation,image(.jpg) with same stem '04905b48-e19a-4951-813c-62ed44ee60c0',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/049a1212-ceaa-4bcb-ba8d-cabe3bcacb89.txt,annotation,image(.jpg) with same stem '049a1212-ceaa-4bcb-ba8d-cabe3bcacb89',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/04a61a84-4a05-4a96-914c-8c8f153adced.txt,annotation,image(.jpg) with same stem '04a61a84-4a05-4a96-914c-8c8f153adced',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/04beef38-6d1e-420f-b8a6-3d6058231a38.txt,annotation,image(.jpg) with same stem '04beef38-6d1e-420f-b8a6-3d6058231a38',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/04c81987-06a2-4840-841e-835f5fb8bb6a.txt,annotation,image(.jpg) with same stem '04c81987-06a2-4840-841e-835f5fb8bb6a',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/04ce153a-ade0-44c0-9ed6-11cc910746bc.txt,annotation,image(.jpg) with same stem '04ce153a-ade0-44c0-9ed6-11cc910746bc',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/04ce4cbb-0955-4009-8871-9b0d59975419.txt,annotation,image(.jpg) with same stem '04ce4cbb-0955-4009-8871-9b0d59975419',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/04cee0d4-682b-46d7-85c1-7da652e0c8c3.txt,annotation,image(.jpg) with same stem '04cee0d4-682b-46d7-85c1-7da652e0c8c3',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/04d95c68-942d-44da-b533-41fd2edabeb4.txt,annotation,image(.jpg) with same stem '04d95c68-942d-44da-b533-41fd2edabeb4',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/04d97d5f-148a-44b9-83c8-641327c85f5d.txt,annotation,image(.jpg) with same stem '04d97d5f-148a-44b9-83c8-641327c85f5d',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/04dd0b5b-736b-40b1-a25f-6f6ea23c9784.txt,annotation,image(.jpg) with same stem '04dd0b5b-736b-40b1-a25f-6f6ea23c9784',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/04e2a339-820a-4355-a233-30699d057393.txt,annotation,image(.jpg) with same stem '04e2a339-820a-4355-a233-30699d057393',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/04e2af8f-946f-432f-89d0-5957db01cebc.txt,annotation,image(.jpg) with same stem '04e2af8f-946f-432f-89d0-5957db01cebc',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/04fd1a8b-41ef-4358-9fe2-573b61798054.txt,annotation,image(.jpg) with same stem '04fd1a8b-41ef-4358-9fe2-573b61798054',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/05026afb-9278-4ad8-b35a-1438625536e0.txt,annotation,image(.jpg) with same stem '05026afb-9278-4ad8-b35a-1438625536e0',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/050f71ed-e072-4847-b01d-0746c78f6d65.txt,annotation,image(.jpg) with same stem '050f71ed-e072-4847-b01d-0746c78f6d65',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/0542451a-3826-4382-b3bc-a7e2372917b6.txt,annotation,image(.jpg) with same stem '0542451a-3826-4382-b3bc-a7e2372917b6',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/0547190d-586b-4b06-b4dd-1c1c10ec7d10.txt,annotation,image(.jpg) with same stem '0547190d-586b-4b06-b4dd-1c1c10ec7d10',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/05514d3c-f402-40d0-b8e1-f5cdf17c6d22.txt,annotation,image(.jpg) with same stem '05514d3c-f402-40d0-b8e1-f5cdf17c6d22',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/055e86ff-6621-497f-892f-dc164f782a75.txt,annotation,image(.jpg) with same stem '055e86ff-6621-497f-892f-dc164f782a75',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/057dc538-e0db-4831-aeba-75aa60947482.txt,annotation,image(.jpg) with same stem '057dc538-e0db-4831-aeba-75aa60947482',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/058cf702-0384-42f3-a93c-a364c3b0873f.txt,annotation,image(.jpg) with same stem '058cf702-0384-42f3-a93c-a364c3b0873f',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/05bca774-4cd5-4f16-9dda-7041f0984fb4.txt,annotation,image(.jpg) with same stem '05bca774-4cd5-4f16-9dda-7041f0984fb4',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/05ceaded-5714-49a8-beb5-5e07ecabf56f.txt,annotation,image(.jpg) with same stem '05ceaded-5714-49a8-beb5-5e07ecabf56f',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/05d086a9-8434-4488-a4b5-63fe5527aebd.txt,annotation,image(.jpg) with same stem '05d086a9-8434-4488-a4b5-63fe5527aebd',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/05d7d87b-6761-4758-b08b-41025a1e6c12.txt,annotation,image(.jpg) with same stem '05d7d87b-6761-4758-b08b-41025a1e6c12',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/05de4f85-beb7-43b5-915f-683221e6bd6a.txt,annotation,image(.jpg) with same stem '05de4f85-beb7-43b5-915f-683221e6bd6a',unmatched,no matching image(.jpg),review; do not delete
coru:kie/test,coru/Receipt Images & Key Information Detection/test/labels/05e7aa7d-0134-4516-9a84-a7c2b87b0532.txt,annotation,image(.jpg) with same stem '05e7aa7d-0134-4516-9a84-a7c2b87b0532',unmatched,no matching image(.jpg),review; do not delete
