duplicate_group_id,dataset,file_path,sha256,size_bytes,duplicate_type,recommended_canonical_file,cross_dataset_duplicate,notes
e00006,sroie,sroie/SROIE2019/test/entities/X51006387950.txt,cbb480401d2774b5233298b2ef25c55ac6e8e925adcd2e857bade421ba762dc8,184,exact,sroie/SROIE2019/test/entities/X51006387950.txt,no,
e00006,sroie,sroie/SROIE2019/train/entities/X51006387953.txt,cbb480401d2774b5233298b2ef25c55ac6e8e925adcd2e857bade421ba762dc8,184,exact,sroie/SROIE2019/test/entities/X51006387950.txt,no,candidate for de-dup
e00007,sroie,sroie/SROIE2019/test/entities/X51008099090.txt,828735bb546322b150c72d09e283430b3eba4d45f7e2003388f6df2cbe982ff8,190,exact,sroie/SROIE2019/test/entities/X51008099090.txt,no,
e00007,sroie,sroie/SROIE2019/train/entities/X51008099081.txt,828735bb546322b150c72d09e283430b3eba4d45f7e2003388f6df2cbe982ff8,190,exact,sroie/SROIE2019/test/entities/X51008099090.txt,no,candidate for de-dup
e00008,sroie,sroie/SROIE2019/test/entities/X51009453729.txt,be12910b5d90090ea1009d16d2247b3d5c74454a9dc8482f2164d7bf49de1d8b,215,exact,sroie/SROIE2019/test/entities/X51009453729.txt,no,
e00008,sroie,sroie/SROIE2019/train/entities/X51005453729.txt,be12910b5d90090ea1009d16d2247b3d5c74454a9dc8482f2164d7bf49de1d8b,215,exact,sroie/SROIE2019/test/entities/X51009453729.txt,no,candidate for de-dup
e00009,sroie,sroie/SROIE2019/test/entities/X51009568881.txt,cce31bf49dccbbcdf8dd529c963e0abf3ba82f5aae4705c930b20dff61d25db9,174,exact,sroie/SROIE2019/test/entities/X51009568881.txt,no,
e00009,sroie,sroie/SROIE2019/train/entities/X51005568881.txt,cce31bf49dccbbcdf8dd529c963e0abf3ba82f5aae4705c930b20dff61d25db9,174,exact,sroie/SROIE2019/test/entities/X51009568881.txt,no,candidate for de-dup
e00010,sroie,sroie/SROIE2019/test/img/X51005268275.jpg,177122548f177241b25024338de0f877b164614f4d5b26fecf649a488e95f9fc,891622,exact,sroie/SROIE2019/test/img/X51005268275.jpg,no,
e00010,sroie,sroie/SROIE2019/test/img/X51005301666.jpg,177122548f177241b25024338de0f877b164614f4d5b26fecf649a488e95f9fc,891622,exact,sroie/SROIE2019/test/img/X51005268275.jpg,no,candidate for de-dup
e00011,sroie,sroie/SROIE2019/test/img/X51005447842.jpg,5599437a296b736c203c9b44f0739ffd5fffdf1fdedccd0f2fbd54ac9c134b4f,283704,exact,sroie/SROIE2019/test/img/X51005447842.jpg,no,
e00011,sroie,sroie/SROIE2019/test/img/X51009447842.jpg,5599437a296b736c203c9b44f0739ffd5fffdf1fdedccd0f2fbd54ac9c134b4f,283704,exact,sroie/SROIE2019/test/img/X51005447842.jpg,no,candidate for de-dup
e00012,sroie,sroie/SROIE2019/test/img/X510056849111.jpg,895f71a999ffab734aae955ca8e7609f76626466031d2fd8213074081e743cb5,122556,exact,sroie/SROIE2019/test/img/X510056849111.jpg,no,
e00012,sroie,sroie/SROIE2019/test/img/X51005684949.jpg,895f71a999ffab734aae955ca8e7609f76626466031d2fd8213074081e743cb5,122556,exact,sroie/SROIE2019/test/img/X510056849111.jpg,no,candidate for de-dup
e00013,sroie,sroie/SROIE2019/test/img/X51006328937.jpg,f52296d80601441345507949d634354d34eebaf04a86b9caae705ea72c9481ba,320279,exact,sroie/SROIE2019/test/img/X51006328937.jpg,no,
e00013,sroie,sroie/SROIE2019/train/img/X51006329399.jpg,f52296d80601441345507949d634354d34eebaf04a86b9caae705ea72c9481ba,320279,exact,sroie/SROIE2019/test/img/X51006328937.jpg,no,candidate for de-dup
e00014,sroie,sroie/SROIE2019/test/img/X51006328967.jpg,2c3f4328f088d2a8abb90fd04a283c7931f640058239042494973bb38548b929,362381,exact,sroie/SROIE2019/test/img/X51006328967.jpg,no,
e00014,sroie,sroie/SROIE2019/train/img/X51006332575.jpg,2c3f4328f088d2a8abb90fd04a283c7931f640058239042494973bb38548b929,362381,exact,sroie/SROIE2019/test/img/X51006328967.jpg,no,candidate for de-dup
e00015,sroie,sroie/SROIE2019/test/img/X51006329388.jpg,8b31ff5f14fdb9973fdb509ad997439be2811a342327f0417b21a8754704c504,317323,exact,sroie/SROIE2019/test/img/X51006329388.jpg,no,
e00015,sroie,sroie/SROIE2019/train/img/X51006328913.jpg,8b31ff5f14fdb9973fdb509ad997439be2811a342327f0417b21a8754704c504,317323,exact,sroie/SROIE2019/test/img/X51006329388.jpg,no,candidate for de-dup
e00016,sroie,sroie/SROIE2019/test/img/X51006401853.jpg,58e3d0ab5333a2f8c05a3d60d1c66fe05f7f433d6ca676b7402c4723da5f3f30,349415,exact,sroie/SROIE2019/test/img/X51006401853.jpg,no,
e00016,sroie,sroie/SROIE2019/train/img/X51007135247.jpg,58e3d0ab5333a2f8c05a3d60d1c66fe05f7f433d6ca676b7402c4723da5f3f30,349415,exact,sroie/SROIE2019/test/img/X51006401853.jpg,no,candidate for de-dup
e00017,sroie,sroie/SROIE2019/test/img/X51009008095.jpg,0c9f94faa20bfe343279a81b5456fd076d599c6e02f6392654ed5a5e1b323d54,394812,exact,sroie/SROIE2019/test/img/X51009008095.jpg,no,
e00017,sroie,sroie/SROIE2019/train/img/X51006008095.jpg,0c9f94faa20bfe343279a81b5456fd076d599c6e02f6392654ed5a5e1b323d54,394812,exact,sroie/SROIE2019/test/img/X51009008095.jpg,no,candidate for de-dup
e00018,sroie,sroie/SROIE2019/test/img/X51009453729.jpg,472f3f2e8be49ce33edee8a09d44932426fc2cfcd2fa4b50d2dd078b40a0454f,154573,exact,sroie/SROIE2019/test/img/X51009453729.jpg,no,
e00018,sroie,sroie/SROIE2019/train/img/X51005453729.jpg,472f3f2e8be49ce33edee8a09d44932426fc2cfcd2fa4b50d2dd078b40a0454f,154573,exact,sroie/SROIE2019/test/img/X51009453729.jpg,no,candidate for de-dup
e00019,sroie,sroie/SROIE2019/test/img/X51009568881.jpg,d7bfcb8d418724f9680b528186d249c98860fa60a1d452e2b7956b6c4685768d,289995,exact,sroie/SROIE2019/test/img/X51009568881.jpg,no,
e00019,sroie,sroie/SROIE2019/train/img/X51005568881.jpg,d7bfcb8d418724f9680b528186d249c98860fa60a1d452e2b7956b6c4685768d,289995,exact,sroie/SROIE2019/test/img/X51009568881.jpg,no,candidate for de-dup
e00020,sroie,sroie/SROIE2019/train/entities/X51005268262.txt,7337601c113d908681662c56e49f9698616b8fd6e4d1af01c703ef2b62538d01,219,exact,sroie/SROIE2019/train/entities/X51005268262.txt,no,
e00020,sroie,sroie/SROIE2019/train/entities/X51005301659.txt,7337601c113d908681662c56e49f9698616b8fd6e4d1af01c703ef2b62538d01,219,exact,sroie/SROIE2019/train/entities/X51005268262.txt,no,candidate for de-dup
e00021,sroie,sroie/SROIE2019/train/entities/X51005453801.txt,64efa67d7aa6f95117ff796efcc5d01a257a1e63e552c8baf3f5c98c37782a7d,176,exact,sroie/SROIE2019/train/entities/X51005453801.txt,no,
e00021,sroie,sroie/SROIE2019/train/entities/X51009453801.txt,64efa67d7aa6f95117ff796efcc5d01a257a1e63e552c8baf3f5c98c37782a7d,176,exact,sroie/SROIE2019/train/entities/X51005453801.txt,no,candidate for de-dup
e00022,sroie,sroie/SROIE2019/train/entities/X51005453804.txt,dd6cefe10599a4c55976ee154620a59f62510562b4cf20570c9dbba29ee401c9,215,exact,sroie/SROIE2019/train/entities/X51005453804.txt,no,
e00022,sroie,sroie/SROIE2019/train/entities/X51009453804.txt,dd6cefe10599a4c55976ee154620a59f62510562b4cf20570c9dbba29ee401c9,215,exact,sroie/SROIE2019/train/entities/X51005453804.txt,no,candidate for de-dup
e00023,sroie,sroie/SROIE2019/train/entities/X51006401723.txt,2d6bcc19077dcc6fcf964a4bd74adbfb981121e977c98237a0d0dc6fd378dd2b,196,exact,sroie/SROIE2019/train/entities/X51006401723.txt,no,
e00023,sroie,sroie/SROIE2019/train/entities/X51007135037.txt,2d6bcc19077dcc6fcf964a4bd74adbfb981121e977c98237a0d0dc6fd378dd2b,196,exact,sroie/SROIE2019/train/entities/X51006401723.txt,no,candidate for de-dup
e00024,sroie,sroie/SROIE2019/train/entities/X51007103641.txt,1a2d56810fd961921f2376eaea36225a19b3939fc9da8583a743db43afc6c5df,207,exact,sroie/SROIE2019/train/entities/X51007103641.txt,no,
e00024,sroie,sroie/SROIE2019/train/entities/X51007103643.txt,1a2d56810fd961921f2376eaea36225a19b3939fc9da8583a743db43afc6c5df,207,exact,sroie/SROIE2019/train/entities/X51007103641.txt,no,candidate for de-dup
e00025,sroie,sroie/SROIE2019/train/entities/X51007339157.txt,7460c6fe1e11cca3b8279d41218af9b2f7f2a2afc6e3224f7e0d59f6a8d99cec,164,exact,sroie/SROIE2019/train/entities/X51007339157.txt,no,
e00025,sroie,sroie/SROIE2019/train/entities/X51007339158.txt,7460c6fe1e11cca3b8279d41218af9b2f7f2a2afc6e3224f7e0d59f6a8d99cec,164,exact,sroie/SROIE2019/train/entities/X51007339157.txt,no,candidate for de-dup
e00026,sroie,sroie/SROIE2019/train/img/X51005268262.jpg,c07bb1228ae7cc72d6510ae76dd1b6f542321d65ba38f99ad151ef64a68cafea,488454,exact,sroie/SROIE2019/train/img/X51005268262.jpg,no,
e00026,sroie,sroie/SROIE2019/train/img/X51005301659.jpg,c07bb1228ae7cc72d6510ae76dd1b6f542321d65ba38f99ad151ef64a68cafea,488454,exact,sroie/SROIE2019/train/img/X51005268262.jpg,no,candidate for de-dup
e00027,sroie,sroie/SROIE2019/train/img/X51005301661.jpg,cf81742e708b6dda55b00856ec17ad2130e04f5caea3779a9d3e75a4f3bf5e1e,725096,exact,sroie/SROIE2019/train/img/X51005301661.jpg,no,
e00027,sroie,sroie/SROIE2019/train/img/X51005303661.jpg,cf81742e708b6dda55b00856ec17ad2130e04f5caea3779a9d3e75a4f3bf5e1e,725096,exact,sroie/SROIE2019/train/img/X51005301661.jpg,no,candidate for de-dup
e00028,sroie,sroie/SROIE2019/train/img/X51005453801.jpg,1613ee46467b109043805e79d821d9a7ecdbc6a3d53ffa954d308018ed43faec,142389,exact,sroie/SROIE2019/train/img/X51005453801.jpg,no,
e00028,sroie,sroie/SROIE2019/train/img/X51009453801.jpg,1613ee46467b109043805e79d821d9a7ecdbc6a3d53ffa954d308018ed43faec,142389,exact,sroie/SROIE2019/train/img/X51005453801.jpg,no,candidate for de-dup
e00029,sroie,sroie/SROIE2019/train/img/X51005453804.jpg,9758674ab336ba9a8d18c098c1d209fd857004883943f75381a4af12cec7a7a7,145625,exact,sroie/SROIE2019/train/img/X51005453804.jpg,no,
e00029,sroie,sroie/SROIE2019/train/img/X51009453804.jpg,9758674ab336ba9a8d18c098c1d209fd857004883943f75381a4af12cec7a7a7,145625,exact,sroie/SROIE2019/train/img/X51005453804.jpg,no,candidate for de-dup
e00030,sroie,sroie/SROIE2019/train/img/X51006401723.jpg,b00688ece8bf1786f35d28f6d3ad17e09f4931fb7b2e5ba609fe370283eee636,450703,exact,sroie/SROIE2019/train/img/X51006401723.jpg,no,
e00030,sroie,sroie/SROIE2019/train/img/X51007135037.jpg,b00688ece8bf1786f35d28f6d3ad17e09f4931fb7b2e5ba609fe370283eee636,450703,exact,sroie/SROIE2019/train/img/X51006401723.jpg,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/._dataset,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,
e00031,funsd,funsd/__MACOSX/dataset/._testing_data,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/._training_data,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/._annotations,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/._images,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._82092117.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._82200067_0069.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._82250337_0338.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._82251504.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._82252956_2958.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._82253058_3059.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._82253245_3247.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._82253362_3364.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._82254765.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._82491256.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._82504862.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._82562350.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._82573104.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._82837252.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._83443897.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._83553333_3334.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._83573282.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._83594639.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._83624198.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._83641919_1921.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._83772145.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._83823750.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._83996357.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._85201976.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._85240939.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._85540866.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._85629964.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._86079776_9777.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._86220490.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._86244113.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._86263525.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._86328049_8050.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._87086073.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._87093315_87093318.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._87332450.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._87428306.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._87528321.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._87528380.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._87594142_87594144.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._89856243.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._91814768_91814769.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._92380595.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/annotations/._93106788.json,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/images/._82092117.png,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/images/._82200067_0069.png,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/images/._82250337_0338.png,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/images/._82251504.png,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/images/._82252956_2958.png,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/images/._82253058_3059.png,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/images/._82253245_3247.png,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/images/._82253362_3364.png,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/images/._82254765.png,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/images/._82491256.png,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/images/._82504862.png,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/images/._82562350.png,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/images/._82573104.png,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/images/._82837252.png,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/images/._83443897.png,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/images/._83553333_3334.png,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
e00031,funsd,funsd/__MACOSX/dataset/testing_data/images/._83573282.png,3c75c29522b679b42f98f5771322c67ad11f579e530821a3854bbcca97beb234,213,exact,funsd/__MACOSX/._dataset,no,candidate for de-dup
